Gene,Non-unique Gene name,Annotation,L_plantarum,B_animalis,L_brevis
lysP,;lysP,Lysine-specific permease;Lysine-specific permease LysP,JLGHJK_01432,IGABOM_00858,PHDJFC_02188
group_5776,,Deoxyadenosine kinase / deoxyguanosine kinase,JLGHJK_01434,IGABOM_00860,PHDJFC_02189
group_5775,,Serine--tRNA ligase,JLGHJK_01435,IGABOM_00861,PHDJFC_02190
group_5772,,ATP-dependent protease ATP-binding subunit,JLGHJK_01445,IGABOM_00870,PHDJFC_02200
group_5768,,Large ribosomal subunit protein bL17,JLGHJK_01481,IGABOM_00904,PHDJFC_02237
group_5767,,DNA-directed RNA polymerase subunit alpha;hypothetical protein,JLGHJK_01479;JLGHJK_01480,IGABOM_00903,PHDJFC_02236
group_5766,,Small ribosomal subunit protein uS11,JLGHJK_01478,IGABOM_00902,PHDJFC_02235
group_5765,,Small ribosomal subunit protein uS13,JLGHJK_01477,IGABOM_00901,PHDJFC_02234
group_5764,,Translation initiation factor IF-1,JLGHJK_01476,IGABOM_00900,PHDJFC_02233
group_5763,,Adenylate kinase,JLGHJK_01475,IGABOM_00899,PHDJFC_02232
secY,secY,Protein translocase subunit SecY,JLGHJK_01474,IGABOM_00898,PHDJFC_02231
group_5762,,Large ribosomal subunit protein uL15,JLGHJK_01473,IGABOM_00897,PHDJFC_02230
group_5761,,DNA-directed RNA polymerase subunit beta;hypothetical protein,JLGHJK_01447;JLGHJK_01448,IGABOM_00872,PHDJFC_02203
group_5760,,hypothetical protein;Large ribosomal subunit protein uL30,JLGHJK_01472,IGABOM_00896,PHDJFC_02229
group_5759,,Small ribosomal subunit protein uS5,JLGHJK_01471,IGABOM_00895,PHDJFC_02228
group_5758,,DNA-directed RNA polymerase subunit beta',JLGHJK_01449,IGABOM_00873,PHDJFC_02204
group_5755,,Large ribosomal subunit protein uL18,JLGHJK_01470,IGABOM_00894,PHDJFC_02227
group_5753,,Small ribosomal subunit protein uS12,JLGHJK_01451,IGABOM_00875,PHDJFC_02206
group_5752,,Small ribosomal subunit protein uS7,JLGHJK_01452,IGABOM_00876,PHDJFC_02207
group_5748,,Small ribosomal subunit protein uS8,JLGHJK_01468,IGABOM_00892,PHDJFC_02225
group_5742,,Elongation factor G,JLGHJK_01453,IGABOM_00877,PHDJFC_02208
group_5738,,Large ribosomal subunit protein uL5,JLGHJK_01467,IGABOM_00891,PHDJFC_02223
group_5737,,Large ribosomal subunit protein uL24,JLGHJK_01466,IGABOM_00890,PHDJFC_02222
group_5736,,Large ribosomal subunit protein uL14,JLGHJK_01465,IGABOM_00889,PHDJFC_02221
group_5735,,Small ribosomal subunit protein uS17,JLGHJK_01464,IGABOM_00888,PHDJFC_02220
group_5734,,Large ribosomal subunit protein uL29,JLGHJK_01463,IGABOM_00887,PHDJFC_02219
group_5733,,Large ribosomal subunit protein uL16,JLGHJK_01462,IGABOM_00886,PHDJFC_02218
group_5732,,Small ribosomal subunit protein uS3,JLGHJK_01461,IGABOM_00885,PHDJFC_02217
group_5731,,Large ribosomal subunit protein uL22,JLGHJK_01460,IGABOM_00884,PHDJFC_02216
group_5730,,Small ribosomal subunit protein uS19,JLGHJK_01459,IGABOM_00883,PHDJFC_02215
group_5729,,Large ribosomal subunit protein uL2,JLGHJK_01458,IGABOM_00882,PHDJFC_02214
group_5724,,Large ribosomal subunit protein uL23,JLGHJK_01457,IGABOM_00881,PHDJFC_02213
group_5713,,Large ribosomal subunit protein uL4,JLGHJK_01456,IGABOM_00880,PHDJFC_02212
group_5667,,Transposase IS4 family,JLGHJK_03419,IGABOM_00018,PHDJFC_01811
group_5647,,Large ribosomal subunit protein uL3,JLGHJK_01455,IGABOM_00879,PHDJFC_02211
group_5335,,Insertion element IS402-like domain-containing protein,JLGHJK_03565,IGABOM_00041,PHDJFC_02873
group_5038,tnp,IS30 family ISLsa1 transposase,JLGHJK_02667,IGABOM_01137,PHDJFC_02870
group_5035,,Insertion element IS402-like domain-containing protein,JLGHJK_03418,IGABOM_00017,PHDJFC_01810
group_5018,tnp,IS30 family ISLpl1 transposase,JLGHJK_00119,IGABOM_03214,PHDJFC_02884
group_3990,,Small ribosomal subunit protein uS10,JLGHJK_01454,IGABOM_00878,PHDJFC_02210
group_3842,,Transposase,JLGHJK_03566,IGABOM_00040,PHDJFC_02872
group_5778,,hypothetical protein;Virulence-associated protein E-like domain-containing protein,JLGHJK_02940;JLGHJK_02941;JLGHJK_02939,IGABOM_02119,
group_5777,,hypothetical protein,JLGHJK_02943,IGABOM_02121,
group_5774,,Prophage P2b protein 7 DNA replication,JLGHJK_02942,IGABOM_02120,
group_5773,,Prophage Lp2 protein 24,JLGHJK_02901,IGABOM_02073,
group_5771,,hypothetical protein,JLGHJK_02948,IGABOM_02125,
group_5770,,Prophage Lp1 protein 23,JLGHJK_02902,IGABOM_02074,
flhB,flhB,Flagellar biosynthesis protein FlhB,JLGHJK_01532,IGABOM_00944,
group_5769,,Bcr/CflA family efflux transporter,JLGHJK_00921,IGABOM_00300,
group_5757,,N-terminal domain-containing protein,JLGHJK_03453,,PHDJFC_02956
group_5756,,hypothetical protein,JLGHJK_03454,,PHDJFC_02957
group_5754,,DNA-packaging protein,JLGHJK_02927,IGABOM_02107,
group_5751,,Prophage P2b protein 11 head-to-tail joining,JLGHJK_02936,IGABOM_02116,
group_5750,,DNA topoisomerase,JLGHJK_03455,,PHDJFC_02958
group_5749,,DUF2663 domain-containing protein,JLGHJK_03456,,PHDJFC_02959
group_5747,,SDR-like Ig domain-containing protein;hypothetical protein,JLGHJK_01806,IGABOM_01189,
group_5746,,Phage prohead protease HK97 family;hypothetical protein,JLGHJK_02928,IGABOM_02110,
group_5745,,Extracellular protein membrane-anchored;hypothetical protein,JLGHJK_00274,IGABOM_02776,
group_5744,,Prophage protein,JLGHJK_02926,IGABOM_02106,
group_5743,,Transposase A from transposon Tn554;hypothetical protein,JLGHJK_02510,IGABOM_01738,
group_5741,yajD,Putative HNH nuclease YajD,JLGHJK_02935,IGABOM_02115,
group_5740,,PepSY domain-containing protein,JLGHJK_00178,IGABOM_02687,
group_5739,,Conjugal transfer protein,JLGHJK_03457,,PHDJFC_02960
group_5728,,hypothetical protein;Auxin efflux carrier,JLGHJK_01543;JLGHJK_01544,IGABOM_00953,
group_5727,,Nucleoside 2-deoxyribosyltransferase,JLGHJK_01804,IGABOM_01188,
group_5726,,hypothetical protein;Subtilisin-like protease,JLGHJK_03040;JLGHJK_03041,IGABOM_02205,
group_5725,,NlpC/P60 domain-containing protein;hypothetical protein,JLGHJK_03464,,PHDJFC_03041
group_5723,,hypothetical protein;NlpC/P60 domain-containing protein,JLGHJK_03463,,PHDJFC_02966
group_5722,,hypothetical protein;Cell surface protein,JLGHJK_01210;JLGHJK_01212;JLGHJK_01213;JLGHJK_01211,IGABOM_00682,
group_5721,,hypothetical protein;Integral membrane protein,JLGHJK_02215,IGABOM_01532,
group_5720,,hypothetical protein;Major facilitator superfamily (MFS) profile domain-containing protein,JLGHJK_02562;JLGHJK_02560;JLGHJK_02563;JLGHJK_02561,IGABOM_01780,
group_5719,,hypothetical protein,JLGHJK_00014,IGABOM_02468,
group_5718,,hypothetical protein;DUF2479 domain-containing protein,JLGHJK_01803,IGABOM_01187,
group_5717,,hypothetical protein;Major facilitator superfamily (MFS) profile domain-containing protein,JLGHJK_02984;JLGHJK_02983;JLGHJK_02982,IGABOM_02154,
group_5716,,hypothetical protein;Polysaccharide polymerase,JLGHJK_02534;JLGHJK_02535,IGABOM_01759,
essB,essB,Type VII secretion protein EssB,JLGHJK_03465,,PHDJFC_03040
group_5715,,Phosphoglycerate mutase family protein,JLGHJK_01371,IGABOM_00808,
group_5714,,Prophage P2a protein 13,JLGHJK_02910,IGABOM_02081,
group_5712,;gntR,hypothetical protein;Transcription regulator GntR family,JLGHJK_00493,IGABOM_02955,
group_5711,,DUF5105 domain-containing protein,JLGHJK_03462,,PHDJFC_02965
group_5710,,hypothetical protein;Citrate lyase alpha chain;Citrate lyase subunit alpha,JLGHJK_01531;JLGHJK_01530;JLGHJK_01529,IGABOM_00941,
group_5709,,Integral membrane protein,JLGHJK_00013,IGABOM_02467,
group_5708,,hypothetical protein;Phage portal protein HK97 family,JLGHJK_02930,IGABOM_02111,
group_5707,,Integral membrane protein,JLGHJK_01809,IGABOM_01205,
group_5706,,hypothetical protein;Glycosyltransferase 2-like domain-containing protein,JLGHJK_01808;JLGHJK_01807,IGABOM_01204,
group_5705,,hypothetical protein;Fumarylacetoacetate hydrolase domain-containing protein 2 like protein,JLGHJK_01356;JLGHJK_01355,IGABOM_00800,
group_5704,,DUF4767 domain-containing protein,JLGHJK_01357,IGABOM_00801,
group_5703,,hypothetical protein;HTH merR-type domain-containing protein,JLGHJK_00236;JLGHJK_00237,IGABOM_02746,
group_5702,,hypothetical protein,JLGHJK_01696;JLGHJK_01695,IGABOM_01094,
group_5701,,hypothetical protein;Phosphoribosylformylglycinamidine cyclo-ligase,JLGHJK_03154;JLGHJK_03153,IGABOM_02306,
group_5700,,hypothetical protein;O-antigen ligase-related domain-containing protein,JLGHJK_02292;JLGHJK_02293,IGABOM_01596,
group_5699,,Phage protein;hypothetical protein,JLGHJK_01899,IGABOM_01257,
group_5698,,hypothetical protein;Glycosyltransferase 2-like domain-containing protein,JLGHJK_02218;JLGHJK_02219,IGABOM_01533,
group_5697,,Malolactic enzyme;hypothetical protein,JLGHJK_01542;JLGHJK_01541,IGABOM_00952,
group_5696,,Glutamate dehydrogenase;hypothetical protein,JLGHJK_01599;JLGHJK_01598,IGABOM_00995,
group_5695,,hypothetical protein;2-hydroxyacid dehydrogenase,JLGHJK_03219;JLGHJK_03220,IGABOM_02367,
group_5694,,hypothetical protein;Glutathione reductase-like protein,JLGHJK_02214;JLGHJK_02213,IGABOM_01531,
group_5693,,hypothetical protein;Glycosyltransferase family 1 (GT1),JLGHJK_02536;JLGHJK_02537,IGABOM_01760,
group_5692,,hypothetical protein;Short-chain dehydrogenase/oxidoreductaseatypical SDR family TMR-like,JLGHJK_00238;JLGHJK_00239;JLGHJK_00240,IGABOM_02747,
group_5691,,hypothetical protein;Enolase,JLGHJK_02307;JLGHJK_02306,IGABOM_01607,
group_5690,;tetR,hypothetical protein;Transcription regulator TetR family,JLGHJK_00028;JLGHJK_00027,IGABOM_02481,
group_5689,,hypothetical protein,JLGHJK_00015,IGABOM_02469,
group_5688,,hypothetical protein;Major facilitator superfamily (MFS) profile domain-containing protein,JLGHJK_00369,IGABOM_02857,
group_5687,,DUF308 domain-containing protein,JLGHJK_02435,IGABOM_01726,
group_5686,,hypothetical protein,JLGHJK_02083,IGABOM_01423,
crdB,;crdB,hypothetical protein;NADH:(hydroxy)cinnamate reductase subunit CrdB,JLGHJK_01802;JLGHJK_01801,IGABOM_01186,
group_5685,,PTS transporter subunit EIIC;hypothetical protein;PTS system beta-glucoside-specific IIABC component,JLGHJK_00776;JLGHJK_00775,IGABOM_00134,
group_5684,,hypothetical protein;HTH domain-containing protein;Sorbitol operon transcription antiterminatorBglG family,JLGHJK_00515;JLGHJK_00514,IGABOM_03039,
group_5683,,hypothetical protein;Glycosyl transferase family protein,JLGHJK_03146;JLGHJK_03147,IGABOM_02301,
group_5682,,hypothetical protein;Di-and tricarboxylate transporter,JLGHJK_01028;JLGHJK_01029,IGABOM_00387,
group_5681,,Lysozyme,JLGHJK_00707,IGABOM_00080,
rqcH,;rqcH,hypothetical protein;Rqc2-like protein RqcH,JLGHJK_02181,IGABOM_01507;IGABOM_01506,
group_5680,,hypothetical protein;citrate lyase holo-[acyl-carrier protein] synthase,JLGHJK_01537;JLGHJK_01536,IGABOM_00949,
group_5679,,hypothetical protein;3-oxoacyl-[acyl-carrier-protein] reductase,JLGHJK_00874,IGABOM_00229;IGABOM_00230,
group_5678,,hypothetical protein;Amino acid permease;Putative histidine permease,JLGHJK_01686;JLGHJK_01685,IGABOM_01088,
group_5677,,hypothetical protein;Uracil-DNA glycosylase,JLGHJK_01220;JLGHJK_01219,IGABOM_00688,
group_5676,,SnoaL-like domain-containing protein,JLGHJK_00407,IGABOM_02886,
